lat;long;prof;mag
-37.54;-73.96;26;5.1
-34.79;-71.7;51;4.4
-37.45;-74.22;32;5.1
-33.08;-72.09;32;4
-34.52;-72.24;28;4.6
-37.72;-73.03;45;4.5
-34.38;-70.52;99;4.3
-33.51;-70.13;120;4.2
-34.47;-72.54;39;4
-34.06;-70.48;106;4.5
-33.26;-70.11;110;5.1
-34.29;-72.26;35;5
-34.96;-71.65;49;4.2
-34.2;-72.23;31;4.3
-37.75;-72.74;40;4.3
-36.8;-73.6;28;4.3
-37.55;-73;25;4.4
-36.47;-73.24;11;4
-33.72;-71.29;55;4
-34.76;-71.7;46;4.5
-37.53;-73.83;26;4.1
-34.59;-71.7;41;4.1
-35.63;-71.49;87;4
-34.38;-70.59;127;5
-34.73;-71.83;43;4.6
-35.64;-73.1;33;4.5
-33.7;-72.06;36;4.3
-33.93;-72.47;36;5.2
-33.69;-71.5;40;5.3
-33.31;-70.36;96;4.2
-34.98;-71.13;101;4.6
-33.32;-70.23;111;4.1
-33.87;-70.36;116;4.6
-35.0;-71.81;49;4.1
-33.55;-70.3;113;4.3
-35.62;-72.97;28;5
-37.24;-72.78;56;4.3
-33.14;-71.67;54;3.8
-33.67;-72.5;16;5.3
-34.34;-70.58;108;4.4
-36.19;-72.7;67;4.4
-33.77;-72.62;10;4.8
-33.42;-71.95;37;3.8
-35.78;-71.85;85;5.2
-34.47;-71.96;28;4
-33.3;-70.34;105;4
-34.8;-71.81;42;4.2
-33.09;-71.89;28;4.3
-33.13;-70.56;97;4.5
-34.28;-72.51;13;6.6
-34.2;-72.19;18;4.6
-34.31;-72.42;21;5.4
-34.17;-72.12;21;5.4
-34.25;-72.33;12;4.3
-34.36;-72.07;21;3.9
-36.09;-73.99;20;5
-33.88;-72.09;24;3.7
-33.9;-72.11;38;3.2
-35.47;-73.18;31;6.6
-34.22;-71.88;42;3.9
-34.06;-72.28;33;4.9
-33.07;-70.22;114;4.5
-36.19;-73.29;42;5.6
-33.39;-71.32;55;4.1
-33.88;-70.52;114;5.1
-37.96;-73.7;28;5
-34.05;-71.23;56;4.6
-33.76;-70.12;15;3
-33.55;-70.75;89;4.8
-33.5;-70.01;118;5.2
-33.07;-71.22;60;3.3
-36.66;-73.13;29;4.7
-33.34;-70.2;120;4
-34.17;-72.23;32;4.9
-34.79;-71.71;46;4.3
-33.69;-71.14;47;3.5
-33.45;-71.78;35;4.4
-33.2;-70.07;10;4.7
-33.37;-71.34;56;3.8
-33.7;-70.82;92;4.4
-34.04;-72.24;32;4.1
-33.01;-70.19;126;4.3
-34.91;-71.68;64;5.3
-34.63;-73.06;41;6
-33.68;-70.38;107;4.3
-35.61;-71.62;84;5
-34.37;-70.78;96;4.6
-34.69;-71.85;51;4.5
-33.35;-70.21;123;5.7
-33.54;-71.53;49;4.2
-33.24;-70.22;115;4.7
-33.89;-72.13;34;3.7
-34.8;-71.8;42;5
-34.13;-71.16;71;4.2
-33.81;-70.29;114;4.5
-37.95;-73.72;39;5.3
-34.02;-72.42;39;5.3
-34.0;-72.3;34;5
-34.01;-72.34;38;5
-34.02;-72.26;37;4.9
-33.99;-72.26;38;4.3
-33.24;-70.56;59;3.9
-33.99;-72.43;34;5.2
-33.9;-72.54;20;4.4
-33.29;-71.36;60;4.7
-33.9;-70.36;112;4.7
